СТО АвтоЛев;г. Херсон  ул. Полтавская, 58;(095) 619-00-15;
Косметика TianDe;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Косметика Bottega Verde;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Косметика Dorabruschi;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Украшение воздушными и гелиевыми шариками СмеШАРиК;;095 406 2891;
Косметика Dottor Ciccarelli;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Косметика Frais Monde ;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Парикмахерская \"Модерн Стиль\" ;г. Херсон ул. Кулика, 114;(0552) 31-03-31;
Фирма \"Атлант\";г. Херсон ул. Ленина, 35;(0552) 42-02-35<br>(067) 897-03-47;
Магазин спортивной одежды \"RECORD\";г. Херсон ул. Кулика, 114;(0552) 51-12-06;
Магазин стильной одежды \"PREMIER\";г. Херсон ул. Кулика, 133;;
Akuna - здоровье и успех.;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Косметология и коррекция внешности;г.Херсон  ул. Ушакова 25, офис 719;(0552) 229-824 <br> (099) 971-83-34 <br> (093) 975-01-52;
Танцевальный клуб Мастер Класс;г. Херсон  ул. Карбышева 11;(066) 667-84-83;
Магазин-ателье мужской одежды KOLARI;г.Херсон ул. Краснознаменная 77;422442<br>095 151 81 32;
Онлайн бухгалтерия Ifin ;г.Херсон бульвар Мирный, 3 ;412450<br>412460;
Косметика Dr. Nona;г.Херсон  ул. Ушакова 25, офис 203;(0552) 262-067 <br> (097) 681-23-71 <br> (095) 085-05-79;
Косметика Forever;г.Херсон  ул. Ушакова 25, офис 203;(0552) 262-067 <br> (097) 681-23-71 <br> (095) 085-05-79;
Energetix;;(050) 280-63-53;
Burger Club;г.Херсон ул. Ушакова, 41а;050 020 02 74;
Amway;Г. Херсон ул. Леннина 4, оф 25; тел. (097) 083-12-11;
Салон красоты \"Этуаль\";г. Херсон пр. 200-летия Херсона, 43 ;(0552) 43-36-99 ;
Империя Туров;г. Херсон ул. 40 лет Октября, 13;(0552)39 68 45<br>(050)061 55 40<br>(097) 803 18 40;
Такси \"Форсаж\";;(066) 412-4-212 (097)-38-51-066 ( 0552) 39-93-65;
Ночной клуб  Шоколад;г.Херсон ул. Дзержинского, 13;44-42-40<br>066-23-83-559;
Fashion Cafe  Zefir;г. Херсон ул. Перекопская 158А;44-45-06;
BoBiju  - сеть магазинов бижутерии и аксессуаров;г.Херсон<br> ТОЦ \"Фабрика\"<br>ТЦ \"Европорт\"<br>ТЦ \"Фреш\";;
Кафе украинской кухни \"Козацька Мрія\";г.Херсон Залаэгерсег, 18 ТРЦ Фабрика;;
CINEMA - видео, игры, музыка;г.Херсон Залаэгерсег, 18 ТРЦ Фабрика;;
Очки \"Polaroid\";ТРЦ \"Фабрика\";;
\"Petro Soroka\" модный дом женской одежды;ТОЦ Адмирал;;
Школа бильярдного мастерства;г.Херсон ул. Ильича 66, БК Карамболь;0506560178<br>0965617638;
Урра все Челентано(сеть пиццерий 5 штук);г.Херсон пр.. Ушакова, 32<br>ул. Суворова, 15<br>ул. Кулика Іллюши, 139/4<br>пр. Ушакова, 35<br>ул. 49-й Гвардейской Дивизии 22;(0552) 26-30-86;
Дом модного белья \"Bretelle\";ТРЦ \"Фабрика\";;
DOMIK;ТРЦ \"Фабрика\";(0552) 44-41-13;
\"Penti\" магазин белья;ТРЦ \"Фабрика\";;
Всеукраинская сеть центров терапии глаза \"Экспресс Оптика\"; г. Херсон<br> ул. Буденного, 12<br>Николаевское шоссе, 11<br>ул. Илюши Кулика, 116<br>ул. Димитрова, 23<br>Новая Каховка Херсонской обл<br>ул. Букина, 32<br>ул. Первомайская, 15<br>Міський критий ринок<br> г. Обухов, ул. Каштанова, 7 б; (0552) 33-77-00<br>(0552) 45-50-22<br>099-369-06-36<br>(05549) 5-28-20<br>(05549) 5-36-06<br>066-886-16-00<br>(04572) 5-11-64;
Кафе \"Библиотека\";ТРЦ \"Фабрика\";;
\"Karcher\" магазин профессионального моющего оборудования ;г. Херсон, ул. Железнодорожная, 22;тел. 0552 461 000;
Сеть магазинов одежды \"Le Form\";г.Херсон пр. Ушакова, 32<br> ул. И.Кулика, 135;;
Сеть магазинов услуг связи и интернета «Интер Юг» ;г. Херсон ТЦ \"Европорт\"<br>Цум(хозмаркет)<br>ул. Горького, 13<br>Н.Каховки ул.Парижской комуны 2Л. ТЦ \"Партнер\";050-396-14-15<br>094 87 85 831<br>099 972 3168<br>052 392-900 <br>094-979-2709;
Сеть магазинов посуды \"Порцеляна\";г. Херсон, ул. Суворова, 27<br>ТЦ \"Европорт\";;
Магазин женской одежды \"RICH ART\";г. Херсон ул. Кулика, 133;(050) 396 70 52;
Соки \"XanGo\";;(050) 935-27-30<br>(096) 578-47-80;
Остерия \"Ченто Перченто\";г.Херсон бульвар Мирный, 3;(050) 588-75-83<br>(096) 887-55-86<br>(063) 481-88-31;
Магазин музыкальных инструментов \"Yamaha\";ТРЦ \"Фабрика\";(095) 075-41-42 ;
Светофор-такси;г. Херсон;(050) 396-40-55<br>(067) 553-30-55<br>(0552) 39-30-55<br>(0552) 22-56-82<br>(067) 728-87-07<br>(050) 993-48-70;
Кафе-ресторан быстрого питания \"Burger City\";г.Херсон ТРЦ \"Фабрика\";;
Сеть магазинов \"Связной\";г. Херсон <br>Бульвар Мирный, 8<br>г. Херсон ул. Потемкинская, 42а<br>г. Херсон ул. Потемкинская, 40/10<br>г. Херсон ул. И. Кулика, 122а;;
Сеть магазинов компьютерной техники \"Кибернетики\";г. Херсон <br>Бульвар Мирный, 9<br>ТРЦ \"Фабрика\"<br>г. Херсон ул. Потемкинская, 40/10<br>г. Херсон ул. Мира, 20;;
Всеукраинская сеть рыбных супермаркетов \"Дон Маре\";г. Херсон<br>ул. Октябрьской Революции, 55/2<br>ул.200 лет Херсона по 49 гв. Дивизии<br>г. Николаев пр. Мира, 7/1<br>г. Кременчуг, ул. Первомайская, 46а;;
Сеть магазинов мужской одежды \"Berlin\";г. Херсон, ул. Ленина, 24<br>ТРЦ \"Фабрика\";(0552) 26-43-23;
Сеть магазинов \"Бюрократ\";г. Херсон ул. Луговая, 24а<br>г. Херсон, ул. Илюши Кулика, 133<br>г. Херсон, ул. Кирова, 24<br>г. Херсон, ул. Илюши Кулика, 126<br>г. Херсон, просп. Ушакова, 25<br>г. Херсон, ул. Перекопская, 151<br>г. Херсон, ул. Молодежная, 4<br>г. Херсон, ул. 9 Января, 27<br>г. Николаев, ул. Лягина, 2;(0552) 42-56-42<br>(0552) 49-00-69, 49-03-98<br>(0552) 51-03-49<br>(0552) 34-32-23<br>(0552) 26-29-49<br>(0552) 51-70-85<br>(0552) 45-45-57<br>(0552) 22-20-09<br>(0512) 37-22-45;
Магазин одежды \"La capriccio\";г. Херсон ул. К. Маркса, 40А<br> г. Херсон ул. Советская, 19;(050) 513-14-82;
Развлекательный комплекс \"Бамбук\";г. Херсон ул. Комкова, 94а;(0552) 42-99-10<br> (066) 36-88-580;
Магазин женской одежды \"Cop. Copine\";г. Херсон  ул. Суворова, 2/15;(0552) 26-27-80;
Свадебный салон \"Клеопатра\";г. Херсон 200 лет Херсона, 18;(0552) 37-15-48<br>(095) 359-99-96;
Свадебный салон \"Невеста\";г. Херсон ул. Советская, 24/1;(0552) 46-08-66<br>(066) 755-52-77<br>(098) 977-44-77;
Услуги массажиста;г. Херсон ул. Полякова, 3, р-н Центрального рынка;(050) 732-56-17;
Туристическая агенция \"Exotic Club\";г. Херсон ул. Мира, 3;(0552) 31-12-65<br>(0552) 34-38-29<br>(095) 58-85-526;
\"Мир косметики\";г. Херсон ул. Горького, 13;(0552) 22-61-28;
Магазин французской одежды \"Leonardo\";г. Херсон ул. Декабристов, 12;(0552) 44-30-50;
Магазин одежды \"Madonna De Paris\";г. Херсон ул. К. Маркса, 30;(050) 396-92-10;
Магазин женской одежды \"Италия XXXL\";г. Херсон ул. Комунаров, 2;(050) 396-92-10;
Магазин нижнего белья \"Людмила\";г. Херсон ул. К. Маркса, 28/30;(0552) 49-15-94;
Магазин детской одежды \"Стиляги\";г. Херсон ул. К. Маркса, 29;(095) 277-25-26<br>(067) 553-10-88;
